Name,Value,Start,Size,Type,Color,Comment
AABBIndex,60,BE4h,2h,ushort,Fg: Bg:0x576974,
Flags,,BE6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,BE6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,BE6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,BE6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.007, -0.00170002, 0.0795, 1)",BF0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.007,BF0h,4h,float,Fg: Bg:0x576974,
y,-0.00170002,BF4h,4h,float,Fg: Bg:0x576974,
z,0.07950001,BF8h,4h,float,Fg: Bg:0x576974,
w,1,BFCh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.007, 0.4773, 0.1065, 1)",C00h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.007,C00h,4h,float,Fg: Bg:0x576974,
y,0.4773,C04h,4h,float,Fg: Bg:0x576974,
z,0.1065,C08h,4h,float,Fg: Bg:0x576974,
w,1,C0Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[59],,C10h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,60,C10h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,C12h,2h,short,Fg: Bg:0x576974,
AABBIndex,61,C14h,2h,ushort,Fg: Bg:0x576974,
Flags,,C16h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,C16h,2h,ushort,Fg: Bg:0x576974,
B : 1,,C16h,2h,ushort,Fg: Bg:0x576974,
C : 1,,C16h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.007, -0.00170002, 0.0795, 1)",C20h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.007,C20h,4h,float,Fg: Bg:0x576974,
y,-0.00170002,C24h,4h,float,Fg: Bg:0x576974,
z,0.07950001,C28h,4h,float,Fg: Bg:0x576974,
w,1,C2Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.007, 0.4773, 0.1065, 1)",C30h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.007,C30h,4h,float,Fg: Bg:0x576974,
y,0.4773,C34h,4h,float,Fg: Bg:0x576974,
z,0.1065,C38h,4h,float,Fg: Bg:0x576974,
w,1,C3Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[60],,C40h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,61,C40h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,C42h,2h,short,Fg: Bg:0x576974,
AABBIndex,62,C44h,2h,ushort,Fg: Bg:0x576974,
Flags,,C46h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,C46h,2h,ushort,Fg: Bg:0x576974,
B : 1,,C46h,2h,ushort,Fg: Bg:0x576974,
C : 1,,C46h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.0111, -0.00209999, 0.078, 1)",C50h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0111,C50h,4h,float,Fg: Bg:0x576974,
y,-0.002099991,C54h,4h,float,Fg: Bg:0x576974,
z,0.078,C58h,4h,float,Fg: Bg:0x576974,
w,1,C5Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.0111, 0.4769, 0.105, 1)",C60h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0111,C60h,4h,float,Fg: Bg:0x576974,
y,0.4769,C64h,4h,float,Fg: Bg:0x576974,
z,0.105,C68h,4h,float,Fg: Bg:0x576974,
w,1,C6Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[61],,C70h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,62,C70h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,C72h,2h,short,Fg: Bg:0x576974,
AABBIndex,63,C74h,2h,ushort,Fg: Bg:0x576974,
Flags,,C76h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,C76h,2h,ushort,Fg: Bg:0x576974,
B : 1,,C76h,2h,ushort,Fg: Bg:0x576974,
C : 1,,C76h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.0111, -0.00209999, 0.078, 1)",C80h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0111,C80h,4h,float,Fg: Bg:0x576974,
y,-0.002099991,C84h,4h,float,Fg: Bg:0x576974,
z,0.078,C88h,4h,float,Fg: Bg:0x576974,
w,1,C8Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.0111, 0.4769, 0.105, 1)",C90h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0111,C90h,4h,float,Fg: Bg:0x576974,
y,0.4769,C94h,4h,float,Fg: Bg:0x576974,
z,0.105,C98h,4h,float,Fg: Bg:0x576974,
w,1,C9Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[62],,CA0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,63,CA0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,CA2h,2h,short,Fg: Bg:0x576974,
AABBIndex,64,CA4h,2h,ushort,Fg: Bg:0x576974,
Flags,,CA6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,CA6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,CA6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,CA6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.0217, -0.00120001, 0.0721, 1)",CB0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0217,CB0h,4h,float,Fg: Bg:0x576974,
y,-0.001200008,CB4h,4h,float,Fg: Bg:0x576974,
z,0.07210001,CB8h,4h,float,Fg: Bg:0x576974,
w,1,CBCh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.0217, 0.4778, 0.0991, 1)",CC0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0217,CC0h,4h,float,Fg: Bg:0x576974,
y,0.4778,CC4h,4h,float,Fg: Bg:0x576974,
z,0.09910001,CC8h,4h,float,Fg: Bg:0x576974,
w,1,CCCh,4h,float,Fg: Bg:0x576974,
BoneDefs[63],,CD0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,64,CD0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,CD2h,2h,short,Fg: Bg:0x576974,
AABBIndex,65,CD4h,2h,ushort,Fg: Bg:0x576974,
Flags,,CD6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,CD6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,CD6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,CD6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.0217, -0.00129995, 0.0721, 1)",CE0h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0217,CE0h,4h,float,Fg: Bg:0x576974,
y,-0.001299953,CE4h,4h,float,Fg: Bg:0x576974,
z,0.07210001,CE8h,4h,float,Fg: Bg:0x576974,
w,1,CECh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.0217, 0.4777, 0.0991, 1)",CF0h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0217,CF0h,4h,float,Fg: Bg:0x576974,
y,0.4777001,CF4h,4h,float,Fg: Bg:0x576974,
z,0.09910001,CF8h,4h,float,Fg: Bg:0x576974,
w,1,CFCh,4h,float,Fg: Bg:0x576974,
BoneDefs[64],,D00h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,65,D00h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,D02h,2h,short,Fg: Bg:0x576974,
AABBIndex,66,D04h,2h,ushort,Fg: Bg:0x576974,
Flags,,D06h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,D06h,2h,ushort,Fg: Bg:0x576974,
B : 1,,D06h,2h,ushort,Fg: Bg:0x576974,
C : 1,,D06h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.0108, 0.01, 0.0831, 1)",D10h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0108,D10h,4h,float,Fg: Bg:0x576974,
y,0.01000004,D14h,4h,float,Fg: Bg:0x576974,
z,0.0831,D18h,4h,float,Fg: Bg:0x576974,
w,1,D1Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.0108, 0.489, 0.1101, 1)",D20h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0108,D20h,4h,float,Fg: Bg:0x576974,
y,0.4890001,D24h,4h,float,Fg: Bg:0x576974,
z,0.1101,D28h,4h,float,Fg: Bg:0x576974,
w,1,D2Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[65],,D30h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,66,D30h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,D32h,2h,short,Fg: Bg:0x576974,
AABBIndex,67,D34h,2h,ushort,Fg: Bg:0x576974,
Flags,,D36h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,D36h,2h,ushort,Fg: Bg:0x576974,
B : 1,,D36h,2h,ushort,Fg: Bg:0x576974,
C : 1,,D36h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.0096, -0.0123, 0.0782, 1)",D40h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0096,D40h,4h,float,Fg: Bg:0x576974,
y,-0.01230001,D44h,4h,float,Fg: Bg:0x576974,
z,0.0782,D48h,4h,float,Fg: Bg:0x576974,
w,1,D4Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.0096, 0.4667, 0.1052, 1)",D50h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0096,D50h,4h,float,Fg: Bg:0x576974,
y,0.4667,D54h,4h,float,Fg: Bg:0x576974,
z,0.1052,D58h,4h,float,Fg: Bg:0x576974,
w,1,D5Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[66],,D60h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,67,D60h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,D62h,2h,short,Fg: Bg:0x576974,
AABBIndex,68,D64h,2h,ushort,Fg: Bg:0x576974,
Flags,,D66h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,D66h,2h,ushort,Fg: Bg:0x576974,
B : 1,,D66h,2h,ushort,Fg: Bg:0x576974,
C : 1,,D66h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.0108, 0.01, 0.0831, 1)",D70h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0108,D70h,4h,float,Fg: Bg:0x576974,
y,0.01000004,D74h,4h,float,Fg: Bg:0x576974,
z,0.0831,D78h,4h,float,Fg: Bg:0x576974,
w,1,D7Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.0108, 0.489, 0.1101, 1)",D80h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0108,D80h,4h,float,Fg: Bg:0x576974,
y,0.4890001,D84h,4h,float,Fg: Bg:0x576974,
z,0.1101,D88h,4h,float,Fg: Bg:0x576974,
w,1,D8Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[67],,D90h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,68,D90h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,D92h,2h,short,Fg: Bg:0x576974,
AABBIndex,69,D94h,2h,ushort,Fg: Bg:0x576974,
Flags,,D96h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,D96h,2h,ushort,Fg: Bg:0x576974,
B : 1,,D96h,2h,ushort,Fg: Bg:0x576974,
C : 1,,D96h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.0096, -0.0123, 0.0782, 1)",DA0h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0096,DA0h,4h,float,Fg: Bg:0x576974,
y,-0.01230001,DA4h,4h,float,Fg: Bg:0x576974,
z,0.0782,DA8h,4h,float,Fg: Bg:0x576974,
w,1,DACh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.0096, 0.4667, 0.1052, 1)",DB0h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0096,DB0h,4h,float,Fg: Bg:0x576974,
y,0.4667,DB4h,4h,float,Fg: Bg:0x576974,
z,0.1052,DB8h,4h,float,Fg: Bg:0x576974,
w,1,DBCh,4h,float,Fg: Bg:0x576974,
BoneDefs[68],,DC0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,69,DC0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,DC2h,2h,short,Fg: Bg:0x576974,
AABBIndex,70,DC4h,2h,ushort,Fg: Bg:0x576974,
Flags,,DC6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,DC6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,DC6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,DC6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0, -0.00159998, 0.0813, 1)",DD0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,DD0h,4h,float,Fg: Bg:0x576974,
y,-0.001599979,DD4h,4h,float,Fg: Bg:0x576974,
z,0.08130001,DD8h,4h,float,Fg: Bg:0x576974,
w,1,DDCh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0, 0.4774, 0.1083, 1)",DE0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,DE0h,4h,float,Fg: Bg:0x576974,
y,0.4774,DE4h,4h,float,Fg: Bg:0x576974,
z,0.1083,DE8h,4h,float,Fg: Bg:0x576974,
w,1,DECh,4h,float,Fg: Bg:0x576974,
BoneDefs[69],,DF0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,70,DF0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,DF2h,2h,short,Fg: Bg:0x576974,
AABBIndex,71,DF4h,2h,ushort,Fg: Bg:0x576974,
Flags,,DF6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,DF6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,DF6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,DF6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0, -0.0026, 0.0813, 1)",E00h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,E00h,4h,float,Fg: Bg:0x576974,
y,-0.002600002,E04h,4h,float,Fg: Bg:0x576974,
z,0.08130001,E08h,4h,float,Fg: Bg:0x576974,
w,1,E0Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0, 0.4764, 0.1083, 1)",E10h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,E10h,4h,float,Fg: Bg:0x576974,
y,0.4764,E14h,4h,float,Fg: Bg:0x576974,
z,0.1083,E18h,4h,float,Fg: Bg:0x576974,
w,1,E1Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[70],,E20h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,71,E20h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,E22h,2h,short,Fg: Bg:0x576974,
AABBIndex,72,E24h,2h,ushort,Fg: Bg:0x576974,
Flags,,E26h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,E26h,2h,ushort,Fg: Bg:0x576974,
B : 1,,E26h,2h,ushort,Fg: Bg:0x576974,
C : 1,,E26h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.0284, -0.028, 0.0514, 1)",E30h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0284,E30h,4h,float,Fg: Bg:0x576974,
y,-0.02799997,E34h,4h,float,Fg: Bg:0x576974,
z,0.05140001,E38h,4h,float,Fg: Bg:0x576974,
w,1,E3Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.0284, 0.451, 0.0784, 1)",E40h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0284,E40h,4h,float,Fg: Bg:0x576974,
y,0.451,E44h,4h,float,Fg: Bg:0x576974,
z,0.07840001,E48h,4h,float,Fg: Bg:0x576974,
w,1,E4Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[71],,E50h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,72,E50h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,E52h,2h,short,Fg: Bg:0x576974,
AABBIndex,73,E54h,2h,ushort,Fg: Bg:0x576974,
Flags,,E56h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,E56h,2h,ushort,Fg: Bg:0x576974,
B : 1,,E56h,2h,ushort,Fg: Bg:0x576974,
C : 1,,E56h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.0284, -0.028, 0.0514, 1)",E60h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0284,E60h,4h,float,Fg: Bg:0x576974,
y,-0.02799997,E64h,4h,float,Fg: Bg:0x576974,
z,0.05140001,E68h,4h,float,Fg: Bg:0x576974,
w,1,E6Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.0284, 0.451, 0.0784, 1)",E70h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0284,E70h,4h,float,Fg: Bg:0x576974,
y,0.451,E74h,4h,float,Fg: Bg:0x576974,
z,0.07840001,E78h,4h,float,Fg: Bg:0x576974,
w,1,E7Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[72],,E80h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,73,E80h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,54,E82h,2h,short,Fg: Bg:0x576974,
AABBIndex,74,E84h,2h,ushort,Fg: Bg:0x576974,
Flags,,E86h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,E86h,2h,ushort,Fg: Bg:0x576974,
B : 1,,E86h,2h,ushort,Fg: Bg:0x576974,
C : 1,,E86h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0, 0, 0.0457, 1)",E90h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,E90h,4h,float,Fg: Bg:0x576974,
y,0,E94h,4h,float,Fg: Bg:0x576974,
z,0.0457,E98h,4h,float,Fg: Bg:0x576974,
w,1,E9Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0, 0.479, 0.0727, 1)",EA0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,EA0h,4h,float,Fg: Bg:0x576974,
y,0.479,EA4h,4h,float,Fg: Bg:0x576974,
z,0.0727,EA8h,4h,float,Fg: Bg:0x576974,
w,1,EACh,4h,float,Fg: Bg:0x576974,
BoneDefs[73],,EB0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,74,EB0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,53,EB2h,2h,short,Fg: Bg:0x576974,
AABBIndex,75,EB4h,2h,ushort,Fg: Bg:0x576974,
Flags,,EB6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,EB6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,EB6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,EB6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0, -0.0385, 0.111, 1)",EC0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,EC0h,4h,float,Fg: Bg:0x576974,
y,-0.03850002,EC4h,4h,float,Fg: Bg:0x576974,
z,0.111,EC8h,4h,float,Fg: Bg:0x576974,
w,1,ECCh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0, 0.4405, 0.098, 1)",ED0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,ED0h,4h,float,Fg: Bg:0x576974,
y,0.4405,ED4h,4h,float,Fg: Bg:0x576974,
z,0.098,ED8h,4h,float,Fg: Bg:0x576974,
w,1,EDCh,4h,float,Fg: Bg:0x576974,
BoneDefs[74],,EE0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,75,EE0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,53,EE2h,2h,short,Fg: Bg:0x576974,
AABBIndex,76,EE4h,2h,ushort,Fg: Bg:0x576974,
Flags,,EE6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,EE6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,EE6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,EE6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.0287, 0.0203, 0.1174, 1)",EF0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0287,EF0h,4h,float,Fg: Bg:0x576974,
y,0.02030001,EF4h,4h,float,Fg: Bg:0x576974,
z,0.1174,EF8h,4h,float,Fg: Bg:0x576974,
w,1,EFCh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.0287, 0.4993, 0.1044, 1)",F00h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0287,F00h,4h,float,Fg: Bg:0x576974,
y,0.4993,F04h,4h,float,Fg: Bg:0x576974,
z,0.1044,F08h,4h,float,Fg: Bg:0x576974,
w,1,F0Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[75],,F10h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,76,F10h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,53,F12h,2h,short,Fg: Bg:0x576974,
AABBIndex,77,F14h,2h,ushort,Fg: Bg:0x576974,
Flags,,F16h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,F16h,2h,ushort,Fg: Bg:0x576974,
B : 1,,F16h,2h,ushort,Fg: Bg:0x576974,
C : 1,,F16h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.0287, 0.0203, 0.1174, 1)",F20h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0287,F20h,4h,float,Fg: Bg:0x576974,
y,0.02030001,F24h,4h,float,Fg: Bg:0x576974,
z,0.1174,F28h,4h,float,Fg: Bg:0x576974,
w,1,F2Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.0287, 0.4993, 0.1044, 1)",F30h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0287,F30h,4h,float,Fg: Bg:0x576974,
y,0.4993,F34h,4h,float,Fg: Bg:0x576974,
z,0.1044,F38h,4h,float,Fg: Bg:0x576974,
w,1,F3Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[76],,F40h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,77,F40h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,53,F42h,2h,short,Fg: Bg:0x576974,
AABBIndex,78,F44h,2h,ushort,Fg: Bg:0x576974,
Flags,,F46h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,F46h,2h,ushort,Fg: Bg:0x576974,
B : 1,,F46h,2h,ushort,Fg: Bg:0x576974,
C : 1,,F46h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.0589, 0.0327, 0.0872, 1)",F50h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0589,F50h,4h,float,Fg: Bg:0x576974,
y,0.03269997,F54h,4h,float,Fg: Bg:0x576974,
z,0.0872,F58h,4h,float,Fg: Bg:0x576974,
w,1,F5Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.0589, 0.5117, 0.0742, 1)",F60h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0589,F60h,4h,float,Fg: Bg:0x576974,
y,0.5117,F64h,4h,float,Fg: Bg:0x576974,
z,0.0742,F68h,4h,float,Fg: Bg:0x576974,
w,1,F6Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[77],,F70h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,78,F70h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,53,F72h,2h,short,Fg: Bg:0x576974,
AABBIndex,79,F74h,2h,ushort,Fg: Bg:0x576974,
Flags,,F76h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,F76h,2h,ushort,Fg: Bg:0x576974,
B : 1,,F76h,2h,ushort,Fg: Bg:0x576974,
C : 1,,F76h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.0589, 0.0327, 0.0872, 1)",F80h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0589,F80h,4h,float,Fg: Bg:0x576974,
y,0.03269997,F84h,4h,float,Fg: Bg:0x576974,
z,0.0872,F88h,4h,float,Fg: Bg:0x576974,
w,1,F8Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.0589, 0.5117, 0.0742, 1)",F90h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.0589,F90h,4h,float,Fg: Bg:0x576974,
y,0.5117,F94h,4h,float,Fg: Bg:0x576974,
z,0.0742,F98h,4h,float,Fg: Bg:0x576974,
w,1,F9Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[78],,FA0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,79,FA0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,53,FA2h,2h,short,Fg: Bg:0x576974,
AABBIndex,80,FA4h,2h,ushort,Fg: Bg:0x576974,
Flags,,FA6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,FA6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,FA6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,FA6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0, 0.0351, 0.1416, 1)",FB0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,FB0h,4h,float,Fg: Bg:0x576974,
y,0.03509998,FB4h,4h,float,Fg: Bg:0x576974,
z,0.1416,FB8h,4h,float,Fg: Bg:0x576974,
w,1,FBCh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0, 0.5141, 0.1286, 1)",FC0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,FC0h,4h,float,Fg: Bg:0x576974,
y,0.5141,FC4h,4h,float,Fg: Bg:0x576974,
z,0.1286,FC8h,4h,float,Fg: Bg:0x576974,
w,1,FCCh,4h,float,Fg: Bg:0x576974,
BoneDefs[79],,FD0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,80,FD0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,53,FD2h,2h,short,Fg: Bg:0x576974,
AABBIndex,81,FD4h,2h,ushort,Fg: Bg:0x576974,
Flags,,FD6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,FD6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,FD6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,FD6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.0156, 0.0779, 0.129, 1)",FE0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.0156,FE0h,4h,float,Fg: Bg:0x576974,
y,0.07790003,FE4h,4h,float,Fg: Bg:0x576974,
z,0.129,FE8h,4h,float,Fg: Bg:0x576974,
w,1,FECh,4h,float,Fg: Bg:0x576974,
